word	phones
twelve	t w ɛ l v
eleven	ɪ l ɛ v ə n
ten	t ɛ n
sneezes	s n iː z ɪ z
cooked	k ʊ k t
blech	b l ɛ k
acting	æ k t ɪ ŋ
zoe	z oʊ iː
who're	h uː ə ɹ
bribe	b ɹ aɪ b
habit	h æ b ə t
bad	b æ d
faces	f eɪ s ə z
mouth	m aʊ θ
chef	ʃ ɛ f
penguin	p ɛ ŋ ɡ w ə n
officer	ɔ f ə s ə ɹ
police	p ə l iː s
safely	s eɪ f l iː
cross	k ɹ ɔ s
we've	w iː v
really	ɹ ɪ l iː
paying	p eɪ ɪ ŋ
grown	ɡ ɹ oʊ n
sees	s iː z
doctor	d ɑ k t ə ɹ
call	k ɔ l
pat	p æ t
cinnamon	s ɪ n ə m ə n
definitely	d ɛ f ə n ə t l iː
before	b ɪ f ɔ ɹ
o'clock	ə k l ɑ k
coat	k oʊ t
boom	b uː m
between	b ɪ t w iː n
trick	t ɹ ɪ k
pumpkin	p ʌ m p k ɪ n
dropped	d ɹ ɑ p t
ripped	ɹ ɪ p t
baby	b eɪ b iː
confused	k ə n f j uː z d
throwing	θ ɹ oʊ ɪ ŋ
reach	ɹ iː tʃ
closer	k l oʊ s ə ɹ
zero	z ɪ ɹ oʊ
falls	f ɔ l z
plan	p l æ n
skunk	s k ʌ ŋ k
pet	p ɛ t
smelly	s m ɛ l iː
brownies	b ɹ aʊ n iː z
cooperate	k oʊ ɑ p ə ɹ eɪ t
lamp	l æ m p
walks	w ɔ k s
case	k eɪ s
lion	l aɪ ə n
stop	s t ɑ p
walk	w ɔ k
everything's	ɛ v ɹ iː θ ɪ ŋ z
sidewalk	s aɪ d w ɔ k
reading	ɹ iː d ɪ ŋ
bridge	b ɹ ɪ dʒ
calm	k ɑ m
hill	h ɪ l
dat	d æ t
exhausted	ɪ ɡ z ɔ s t ɪ d
toothpaste	t uː θ p eɪ s t
gate	ɡ eɪ t
quilt	k w ɪ l t
stirring	s t ɜː ɪ ŋ
mixing	m ɪ k s ɪ ŋ
meet	m iː t
corner	k ɔ ɹ n ə ɹ
mhm	ə m h ə m
shirt	ʃ ɜː t
bicycle	b aɪ s ɪ k ə l
asleep	ə s l iː p
fallen	f ɑ l ə n
sleeping	s l iː p ɪ ŋ
fire	f aɪ ə ɹ
chairs	tʃ ɛ ɹ z
lounge	l aʊ n dʒ
pa	p ɑ
place	p l eɪ s
patio	p æ t iː oʊ
rocco	ɹ ɑ k oʊ
showing	ʃ oʊ ɪ ŋ
towel	t aʊ ə l
bright	b ɹ aɪ t
container	k ə n t eɪ n ə ɹ
somebody	s ʌ m b ɑ d iː
garage	ɡ ə ɹ ɑ ʒ
factory	f æ k t ə ɹ iː
slippers	s l ɪ p ə ɹ z
cloth	k l ɔ θ
rocking	ɹ ɑ k ɪ ŋ
cup	k ʌ p
runaway	ɹ ʌ n ə w eɪ
clock	k l ɑ k
shake	ʃ eɪ k
stand	s t æ n d
scissors	s ɪ z ə ɹ z
squares	s k w ɛ ɹ z
anything	ɛ n iː θ ɪ ŋ
complaining	k ə m p l eɪ n ɪ ŋ
noticed	n oʊ t ə s t
crayons	k ɹ eɪ ɑ n z
hoarse	h ɔ ɹ s
voice	v ɔɪ s
lose	l uː z
awake	ə w eɪ k
listening	l ɪ s ə n ɪ ŋ
seeds	s iː d z
elbows	ɛ l b oʊ z
knock	n ɑ k
tower	t aʊ ə ɹ
ripe	ɹ aɪ p
tomatoes	t ə m eɪ t oʊ z
hitting	h ɪ t ɪ ŋ
there'll	ð ɛ ɹ ə l
blame	b l eɪ m
forgot	f ə ɹ ɡ ɑ t
moon	m uː n
dump	d ʌ m p
puppy	p ʌ p iː
stars	s t ɑ ɹ z
ha	h ɑ
helicopter	h ɛ l ɪ k ɑ p t ə ɹ
goin	ɡ ɔɪ n
tunnel	t ʌ n ə l
shakers	ʃ eɪ k ə ɹ z
cookies	k ʊ k iː z
its	ɪ t s
plate	p l eɪ t
jellyfish	dʒ ɛ l iː f ɪ ʃ
fall	f ɔ l
inch	ɪ n tʃ
jiggle	dʒ ɪ ɡ ə l
kiddie	k ɪ d iː
bed	b ɛ d
joe	dʒ oʊ
pajamas	p ə dʒ ɑ m ə z
pans	p æ n z
extra	ɛ k s t ɹ ə
dish	d ɪ ʃ
cards	k ɑ ɹ d z
flash	f l æ ʃ
problem	p ɹ ɑ b l ə m
cover	k ʌ v ə ɹ
song	s ɔ ŋ
tore	t ɔ ɹ
shapes	ʃ eɪ p s
steal	s t iː l
silence	s aɪ l ə n s
stress	s t ɹ ɛ s
giraffe	dʒ ə ɹ æ f
repair	ɹ ɪ p ɛ ɹ
might	m aɪ t
understand	ʌ n d ə ɹ s t æ n d
owl	aʊ l
thief	θ iː f
claus	k l ɔ z
having	h æ v ɪ ŋ
cooking	k ʊ k ɪ ŋ
cool	k uː l
sing	s ɪ ŋ
hum	h ʌ m
hoo	h uː
la	l ɑ
cut	k ʌ t
de	d iː
threw	θ ɹ uː
supposed	s ə p oʊ z d
ago	ə ɡ oʊ
fridays	f ɹ aɪ d iː z
skating	s k eɪ t ɪ ŋ
roller	ɹ oʊ l ə ɹ
sound	s aʊ n d
longer	l ɔ ŋ ɡ ə ɹ
happens	h æ p ə n z
breakfast	b ɹ ɛ k f ə s t
dorothy	d ɔ ɹ ə θ iː
bray	b ɹ eɪ
games	ɡ eɪ m z
during	d ʊ ɹ ɪ ŋ
pinks	p ɪ ŋ k s
sweep	s w iː p
timeout	t aɪ m aʊ t
into	ɪ n t uː
middle	m ɪ d ə l
boop	b uː p
circles	s ɜː k ə l z
'bout	b aʊ t
jeff	dʒ ɛ f
ruffle	ɹ ʌ f ə l
belong	b ɪ l ɔ ŋ
poor	p uː ɹ
black	b l æ k
jello	dʒ ɛ l oʊ
gingerbread	dʒ ɪ n dʒ ə ɹ b ɹ ɛ d
crush	k ɹ ʌ ʃ
stands	s t æ n d z
elbow	ɛ l b oʊ
pasta	p ɑ s t ə
bucket	b ʌ k ə t
slugger	s l ʌ ɡ ə ɹ
bunch	b ʌ n tʃ
kinda	k ɪ n d ə
buzz	b ʌ z
goodness	ɡ ʊ d n ə s
taste	t eɪ s t
yard	j ɑ ɹ d
lap	l æ p
crushing	k ɹ ʌ ʃ ɪ ŋ
plants	p l æ n t s
hafta	h æ f t ə
wa	w ɑ
lots	l ɑ t s
tire	t aɪ ə ɹ
mixed	m ɪ k s t
cars	k ɑ ɹ z
flat	f l æ t
skate	s k eɪ t
battle	b æ t ə l
naughty	n ɔ t iː
upset	ə p s ɛ t
directions	d ə ɹ ɛ k ʃ ə n z
sleeves	s l iː v z
frog	f ɹ ɑ ɡ
mixer	m ɪ k s ə ɹ
putting	p ʌ t ɪ ŋ
pad	p æ d
high	h aɪ
adventures	æ d v ɛ n tʃ ə ɹ z
animal	æ n ə m ə l
dreams	d ɹ iː m z
sometimes	s ə m t aɪ m z
animals	æ n ə m ə l z
almost	ɔ l m oʊ s t
dolphin	d ɑ l f ə n
afternoon	æ f t ə ɹ n uː n
hear	h iː ɹ
roar	ɹ ɔ ɹ
limousine	l ɪ m ə z iː n
tallest	t ɔ l ɪ s t
scooter	s k uː t ə ɹ
interested	ɪ n t ɹ ə s t ɪ d
tough	t ʌ f
sock	s ɑ k
shower	ʃ aʊ ə ɹ
obscene	ɑ b s iː n
house	h aʊ s
grammy	ɡ ɹ æ m iː
move	m uː v
bag	b æ ɡ
uncle	ʌ ŋ k ə l
unless	ə n l ɛ s
brown	b ɹ aʊ n
yep	j ɛ p
silicone	s ɪ l ə k oʊ n
wooden	w ʊ d ə n
block	b l ɑ k
tube	t uː b
round	ɹ aʊ n d
oink	ɔɪ ŋ k
finger	f ɪ ŋ ɡ ə ɹ
hon	h ɑ n
drive	d ɹ aɪ v
doodle	d uː d ə l
cock	k ɑ k
ray	ɹ eɪ
garden	ɡ ɑ ɹ d ə n
family	f æ m ə l iː
mia	m iː ə
us	ʌ s
calling	k ɔ l ɪ ŋ
cakes	k eɪ k s
decorate	d ɛ k ə ɹ eɪ t
statue	s t æ tʃ uː
bin	b ɪ n
construction	k ə n s t ɹ ʌ k ʃ ə n
carpentry	k ɑ ɹ p ə n t ɹ iː
biggest	b ɪ ɡ ə s t
snake	s n eɪ k
vegetables	v ɛ dʒ t ə b ə l z
cooks	k ʊ k s
artist	ɑ ɹ t ə s t
kidding	k ɪ d ɪ ŋ
draw	d ɹ ɔ
louise	l uː iː z
square	s k w ɛ ɹ
spaghetti	s p ə ɡ ɛ t iː
patience	p eɪ ʃ ə n s
seconds	s ɛ k ə n d z
death	d ɛ θ
starve	s t ɑ ɹ v
she'd	ʃ iː d
rely	ɹ ɪ l aɪ
baby's	b eɪ b iː z
squirrel	s k w ɜː ə l
cone	k oʊ n
bracelet	b ɹ eɪ s l ə t
porch	p ɔ ɹ tʃ
tanker	t æ ŋ k ə ɹ
tide	t aɪ d
window	w ɪ n d oʊ
gross	ɡ ɹ oʊ s
faint	f eɪ n t
magnet	m æ ɡ n ə t
front	f ɹ ʌ n t
air	ɛ ɹ
carry	k æ ɹ iː
bugs	b ʌ ɡ z
smash	s m æ ʃ
bird's	b ɜː d z
smooth	s m uː ð
jessica	dʒ ɛ s ɪ k ə
circle	s ɜː k ə l
glass	ɡ l æ s
same	s eɪ m
triangle	t ɹ aɪ æ ŋ ɡ ə l
pony	p oʊ n iː
their	ð ɛ ɹ
miss	m ɪ s
welcome	w ɛ l k ə m
muscle	m ʌ s ə l
shoes	ʃ uː z
bumps	b ʌ m p s
making	m eɪ k ɪ ŋ
hate	h eɪ t
mean	m iː n
plenty	p l ɛ n t iː
rectangle	ɹ ɛ k t æ ŋ ɡ ə l
crushed	k ɹ ʌ ʃ t
stepping	s t ɛ p ɪ ŋ
messy	m ɛ s iː
dance	d æ n s
shoot	ʃ uː t
brush	b ɹ ʌ ʃ
ra	ɹ ɑ
lady	l eɪ d iː
lil	l ɪ l
glue	ɡ l uː
words	w ɜː d z
pentagon	p ɛ n t ɪ ɡ ɑ n
ants	æ n t s
doggy	d ɔ ɡ iː
spider	s p aɪ d ə ɹ
shape	ʃ eɪ p
flour	f l aʊ ə ɹ
'kay	k eɪ
woof	w uː f
gloves	ɡ l ʌ v z
hats	h æ t s
food	f uː d
gray	ɡ ɹ eɪ
hand	h æ n d
tone	t oʊ n
op	ɑ p
goin'	ɡ oʊ ə n
board	b ɔ ɹ d
wah	w ɑ
hiding	h aɪ d ɪ ŋ
leaves	l iː v z
stays	s t eɪ z
creams	k ɹ iː m z
mess	m ɛ s
bah	b ɑ
taking	t eɪ k ɪ ŋ
surface	s ɜː f ə s
palette	p æ l ə t
dig	d ɪ ɡ
errand	ɛ ɹ ə n d
subscription	s ə b s k ɹ ɪ p ʃ ə n
wasn't	w ɑ z ə n t
buy	b aɪ
jerry	dʒ ɛ ɹ iː
higher	h aɪ ə ɹ
bathtub	b æ θ t ə b
pancake	p æ n k eɪ k
stretch	s t ɹ ɛ tʃ
bi	b aɪ
able	eɪ b ə l
attack	ə t æ k
feed	f iː d
bay	b eɪ
changed	tʃ eɪ n dʒ d
moment	m oʊ m ə n t
ska	s k ɑ
raking	ɹ eɪ k ɪ ŋ
prize	p ɹ aɪ z
share	ʃ ɛ ɹ
cleaning	k l iː n ɪ ŋ
peel	p iː l
messages	m ɛ s ə dʒ ə z
mom	m ɑ m
stealing	s t iː l ɪ ŋ
close	k l oʊ s
glove	ɡ l ʌ v
spin	s p ɪ n
hide	h aɪ d
keeps	k iː p s
birthday	b ɜː θ d eɪ
asking	æ s k ɪ ŋ
saved	s eɪ v d
kind	k aɪ n d
downstairs	d aʊ n s t ɛ ɹ z
texas	t ɛ k s ə s
presents	p ɹ ɛ z ə n t s
pea	p iː
whisk	w ɪ s k
anyway	ɛ n iː w eɪ
saturday	s æ t ə ɹ d iː
tomorrow	t ə m ɑ ɹ oʊ
requests	ɹ ɪ k w ɛ s t s
tie	t aɪ
stocking	s t ɑ k ɪ ŋ
raining	ɹ eɪ n ɪ ŋ
dye	d aɪ
swizzle	s w ɪ z l
fill	f ɪ l
gentle	dʒ ɛ n t ə l
maker	m eɪ k ə ɹ
popcorn	p ɑ p k ɔ ɹ n
deserted	d ɪ z ɜː t ɪ d
montessori	m ɑ n t ə s ɔ ɹ iː
sneakers	s n iː k ə ɹ z
skin	s k ɪ n
coloring	k ʌ l ə ɹ ɪ ŋ
beast	b iː s t
beauty	b j uː t iː
napkins	n æ p k ɪ n z
message	m ɛ s ə dʒ
rectangles	ɹ ɛ k t æ ŋ ɡ ə l z
knot	n ɑ t
thirty	θ ɜː d iː
appointment	ə p ɔɪ n t m ə n t
wanted	w ɔ n t ɪ d
usa	j uː ɛ s eɪ
states	s t eɪ t s
united	j uː n aɪ t ɪ d
paints	p eɪ n t s
choice	tʃ ɔɪ s
also	ɔ l s oʊ
building	b ɪ l d ɪ ŋ
soapy	s oʊ p iː
monday	m ʌ n d iː
flap	f l æ p
measuring	m ɛ ʒ ə ɹ ɪ ŋ
ding	d ɪ ŋ
rules	ɹ uː l z
immediately	ɪ m iː d iː ə t l iː
eh	ɛ
hay	h eɪ
eating	iː t ɪ ŋ
knocked	n ɑ k t
write	ɹ aɪ t
answered	æ n s ə ɹ d
ladle	l eɪ d ə l
writing	ɹ aɪ t ɪ ŋ
sort	s ɔ ɹ t
someplace	s ʌ m p l eɪ s
practice	p ɹ æ k t ə s
rang	ɹ æ ŋ
oval	oʊ v ə l
donald	d ɑ n ə l d
poe	p oʊ
sandbox	s æ n d b ɑ k s
quiet	k w aɪ ə t
concentrating	k ɑ n s ə n t ɹ eɪ t ɪ ŋ
brand	b ɹ æ n d
what'd	w ʌ t ɪ d
dirty	d ɜː t iː
tractor	t ɹ æ k t ə ɹ
knife	n aɪ f
butter	b ʌ t ə ɹ
pushing	p ʊ ʃ ɪ ŋ
ups	ʌ p s
washboard	w ɑ ʃ b ɔ ɹ d
plop	p l ɑ p
wearing	w ɛ ɹ ɪ ŋ
someone	s ʌ m w ʌ n
she'll	ʃ iː l
lou	l uː
lizzy	l ɪ z iː
aggravated	æ ɡ ɹ ə v eɪ t ɪ d
shows	ʃ oʊ z
accident	æ k s ə d ə n t
sticker	s t ɪ k ə ɹ
plates	p l eɪ t s
scenery	s iː n ə ɹ iː
finally	f aɪ n ə l iː
cutter	k ʌ t ə ɹ
strong	s t ɹ ɔ ŋ
dishes	d ɪ ʃ ə z
robot	ɹ oʊ b ɑ t
smooch	s m uː tʃ
excited	ɪ k s aɪ t ə d
dah	d ʌ
yet	j ɛ t
cutters	k ʌ t ə ɹ z
apple's	æ p ə l z
design	d ɪ z aɪ n
glasses	ɡ l æ s ə z
yea	j eɪ
patient	p eɪ ʃ ə n t
cutting	k ʌ t ɪ ŋ
sharp	ʃ ɑ ɹ p
laughing	l æ f ɪ ŋ
wands	w ɑ n d z
angel	eɪ n dʒ ə l
snowman	s n oʊ m æ n
asked	æ s k t
pear	p ɛ ɹ
fixed	f ɪ k s t
am	æ m
kissing	k ɪ s ɪ ŋ
due	d uː
report	ɹ iː p ɔ ɹ t
scene	s iː n
choke	tʃ oʊ k
staircase	s t ɛ ɹ k eɪ s
moly	m oʊ l iː
holy	h oʊ l iː
refrigerator	ɹ ə f ɹ ɪ dʒ ə ɹ eɪ t ə ɹ
kisses	k ɪ s ə z
neck	n ɛ k
sponge	s p ʌ n dʒ
horse	h ɔ ɹ s
wonderful	w ʌ n d ə ɹ f ə l
masterpiece	m æ s t ə ɹ p iː s
working	w ɜː k ɪ ŋ
basketball	b æ s k ə t b ɔ l
dropping	d ɹ ɑ p ɪ ŋ
peeks	p iː k s
disgusting	d ɪ s ɡ ʌ s t ɪ ŋ
ruin	ɹ uː ə n
conditioner	k ə n d ɪ ʃ ə n ə ɹ
juicy	dʒ uː s iː
bum	b ʌ m
dum	d ʌ m
lizzie	l ɪ z iː
gas	ɡ æ s
stick	s t ɪ k
heck	h ɛ k
apples	æ p ə l z
fourteen	f ɔ ɹ t iː n
popped	p ɑ p t
fifteen	f ɪ f t iː n
neatly	n iː t l iː
covers	k ʌ v ə ɹ z
ran	ɹ æ n
hurricane	h ɜː ə k eɪ n
sixteen	s ɪ k s t iː n
eyes	aɪ z
timer	t aɪ m ə ɹ
pebble	p ɛ b ə l
proud	p ɹ aʊ d
colby	k oʊ l b iː
eye	aɪ
seventeen	s ɛ v ə n t iː n
ambulance	æ m b j ə l ə n s
cabinet	k æ b ə n ə t
eighteen	eɪ t iː n
sponges	s p ʌ n dʒ ə z
nineteen	n aɪ n t iː n
setting	s ɛ t ɪ ŋ
luck	l ʌ k
twenty	t w ɛ n t iː
mcdonald's	m ə k d ɑ n ə l d z
potatoes	p ə t eɪ t oʊ z
options	ɑ p ʃ ə n z
pot	p ɑ t
smaller	s m ɔ l ə ɹ
somehow	s ʌ m h aʊ
ponies	p oʊ n iː z
hard	h ɑ ɹ d
expect	ɪ k s p ɛ k t
disk	d ɪ s k
dehydrating	d iː h aɪ d ɹ eɪ t ɪ ŋ
marshmallow	m ɑ ɹ ʃ m ɛ l oʊ
beige	b eɪ ʒ
eighth	eɪ t θ
cups	k ʌ p s
charge	tʃ ɑ ɹ dʒ
stinks	s t ɪ ŋ k s
booth	b uː θ
missus	m ɪ s ɪ z
bop	b ɑ p
gaba	ɡ ɑ b ə
jeez	dʒ iː z
cuts	k ʌ t s
rhinoceros	ɹ aɪ n ɑ s ə ɹ ə s
cutest	k j uː t ɪ s t
pressing	p ɹ ɛ s ɪ ŋ
whoo	w uː
shades	ʃ eɪ d z
marble	m ɑ ɹ b ə l
buttons	b ʌ t ə n z
yuck	j ʌ k
arms	ɑ ɹ m z
basket	b æ s k ə t
aggravating	æ ɡ ɹ ə v eɪ t ɪ ŋ
picking	p ɪ k ɪ ŋ
double	d ʌ b ə l
hurting	h ɜː t ɪ ŋ
caught	k ɑ t
mouses	m aʊ z ɪ z
teenie	t iː n iː
art	ɑ ɹ t
turkeys	t ɜː k iː z
mice	m aɪ s
sticks	s t ɪ k s
sold	s oʊ l d
spiders	s p aɪ d ə ɹ z
millions	m ɪ l j ə n z
hugging	h ʌ ɡ ɪ ŋ
fabric	f æ b ɹ ɪ k
octagon	ɑ k t ə ɡ ɑ n
messing	m ɛ s ɪ ŋ
til	t ɪ l
diamond	d aɪ m ə n d
across	ə k ɹ ɔ s
hancock	h æ n k ɑ k
tickled	t ɪ k ə l d
shove	ʃ ʌ v
rain	ɹ eɪ n
grass	ɡ ɹ æ s
wendy's	w ɛ n d iː z
tray	t ɹ eɪ
opened	oʊ p ə n d
only	oʊ n l iː
tickle	t ɪ k ə l
lawn	l ɔ n
mowing	m aʊ ɪ ŋ
lines	l aɪ n z
butterfly	b ʌ t ə ɹ f l aɪ
manuela	m æ n w eɪ l ə
lily's	l ɪ l iː z
person's	p ɜː s ə n z
beep	b iː p
lily	l ɪ l iː
pouring	p ɔ ɹ ɪ ŋ
lining	l aɪ n ɪ ŋ
behind	b ɪ h aɪ n d
person	p ɜː s ə n
harder	h ɑ ɹ d ə ɹ
delivery	d ɪ l ɪ v ə ɹ iː
leaf	l iː f
thrown	θ ɹ oʊ n
caution	k ɑ ʃ ə n
worker	w ɜː k ə ɹ
postal	p oʊ s t ə l
shoebox	ʃ oʊ b ɑ k s
strainer	s t ɹ eɪ n ə ə ɹ
signal	s ɪ ɡ n ə l
collection	k ə l ɛ k ʃ ə n
spelling	s p ɛ l ɪ ŋ
molding	m oʊ l d ɪ ŋ
mouse	m aʊ s
needing	n iː d ɪ ŋ
windows	w ɪ n d oʊ z
rabbit	ɹ æ b ə t
silver	s ɪ l v ə ɹ
rearrange	ɹ iː ə ɹ eɪ n dʒ
saw	s ɔ
trouble	t ɹ ʌ b ə l
wendy	w ɛ n d iː
screamed	s k ɹ iː m d
ow	oʊ
anyone	ɛ n iː w ʌ n
sink	s ɪ ŋ k
rinse	ɹ ɪ n s
stripes	s t ɹ aɪ p s
question	k w ɛ s tʃ ə n
against	ə ɡ ɛ n s t
lean	l iː n
flatten	f l æ t ə n
wolf	w ʊ l f
timber	t ɪ m b ə ɹ
tiny	t aɪ n iː
year	j ɪ ɹ
weeny	w iː n iː
until	ə n t ɪ l
supper	s ʌ p ə ɹ
clip	k l ɪ p
bibs	b ɪ b z
blackmail	b l æ k m eɪ l
long	l ɔ ŋ
drool	d ɹ uː l
forget	f ə ɹ ɡ ɛ t
gasket	ɡ æ s k ə t
somewhere	s ʌ m w ɛ ɹ
john	dʒ ɑ n
recycling	ɹ iː s aɪ k ə l ɪ ŋ
beans	b iː n z
speck	s p ɛ k
thinking	θ ɪ ŋ k ɪ ŋ
flag	f l æ ɡ
bike	b aɪ k
bell	b ɛ l
stink	s t ɪ ŋ k
towels	t aʊ ə l z
paper	p eɪ p ə ɹ
pain	p eɪ n
clover	k l oʊ v ə ɹ
how'd	h aʊ d
arm	ɑ ɹ m
worry	w ɜː iː
dorothy's	d ɔ ɹ ə θ iː z
tease	t iː z
dong	d ɔ ŋ
leakage	l iː k ə dʒ
reservoir	ɹ ɛ z ə v w ɑ ɹ
filling	f ɪ l ɪ ŋ
numbers	n ʌ m b ə ɹ z
chummy	tʃ ʌ m iː
joo	dʒ uː
pour	p ɔ ɹ
agree	ə ɡ ɹ iː
plant	p l æ n t
bean	b iː n
warped	w ɔ ɹ p t
mulch	m ʌ l tʃ
curvy	k ɜː v iː
three's	θ ɹ iː z
gym	dʒ ɪ m
jungle	dʒ ʌ ŋ ɡ ə l
dumping	d ʌ m p ɪ ŋ
medicine	m ɛ d ə s ə n
tellin'	t ɛ l ɪ n
sudsy	s ʌ d z ɪ
present	p ɹ ɛ z ə n t
running	ɹ ʌ n ɪ ŋ
knows	n oʊ z
sneak	s n iː k
racket	ɹ æ k ɪ t
tennis	t ɛ n ə s
tickles	t ɪ k ə l z
achoo	ɑ tʃ uː
note	n oʊ t
doggies	d ɔ ɡ iː z
stove	s t oʊ v
ona	ə n ɑ
neat	n iː t
stacks	s t æ k s
cans	k æ n z
stacking	s t æ k ɪ ŋ
climbing	k l aɪ m ɪ ŋ
psycho	s aɪ k oʊ
barber's	b ɑ ɹ b ə ɹ z
peach	p iː tʃ
yesterday	j ɛ s t ə ɹ d eɪ
mall	m ɔ l
warwick	w ɔ ɹ w ɪ k
gonzo	ɡ ɑ n z oʊ
belly	b ɛ l iː
drips	d ɹ ɪ p s
walked	w ɔ k t
built	b ɪ l t
nut	n ʌ t
mop	m ɑ p
town	t aʊ n
circus	s ɜː k ə s
parade	p ə ɹ eɪ d
awesome	ɑ s ə m
stroke	s t ɹ oʊ k
fooled	f uː l d
thanks	θ æ ŋ k s
tumble	t ʌ m b ə l
clowns	k l aʊ n z
sharpen	ʃ ɑ ɹ p ə n
instruction	ɪ n s t ɹ ʌ k ʃ ə n
class	k l æ s
instructional	ɪ n s t ɹ ʌ k ʃ ə n ə l
shade	ʃ eɪ d
gift	ɡ ɪ f t
grouch	ɡ ɹ aʊ tʃ
battery	b æ t ə ɹ iː
sniffed	s n ɪ f t
weed	w iː d
finds	f aɪ n d z
wonder	w ʌ n d ə ɹ
grin	ɡ ɹ ɪ n
grins	ɡ ɹ ɪ n z
footprint	f ʊ t p ɹ ɪ n t
drains	d ɹ eɪ n z
kitchen	k ɪ tʃ ə n
chances	tʃ æ n s ə z
balcony	b æ l k ə n iː
dangled	d æ ŋ ɡ ə l d
blanket	b l æ ŋ k ə t
yucky	j ʌ k iː
boxes	b ɑ k s ə z
care	k ɛ ɹ
explosion	ɪ k s p l oʊ ʒ ə n
structure	s t ɹ ʌ k tʃ ə ɹ
myself	m aɪ s ɛ l f
recycle	ɹ iː s aɪ k ə l
runny	ɹ ʌ n iː
closed	k l oʊ z d
goofing	ɡ uː f ɪ ŋ
aren't	ɑ ɹ ə n t
telling	t ɛ l ɪ ŋ
sick	s ɪ k
snuffer	s n ʌ f ə ɹ
fifth	f ɪ f θ
map	m æ p
cargo	k ɑ ɹ ɡ oʊ
chilly	tʃ ɪ l iː
water's	w ɔ t ə ɹ z
part	p ɑ ɹ t
breathe	b ɹ iː ð
lick	l ɪ k
mistake	m ɪ s t eɪ k
fat	f æ t
past	p æ s t
sleepy	s l iː p iː
privileges	p ɹ ɪ v l ə dʒ ə z
bubbled	b ʌ b ə l d
mad	m æ d
hockey	h ɑ k iː
disaster	d ɪ z æ s t ə ɹ
soccer	s ɑ k ə ɹ
outta	uː t ə
means	m iː n z
world	w ɜː l d
faker	f eɪ k ə ɹ
cake	k eɪ k
loop	l uː p
smart	s m ɑ ɹ t
licking	l ɪ k ɪ ŋ
lamb	l æ m
mary	m ɛ ɹ iː
fleece	f l iː s
sayin'	s eɪ ɪ n
everywhere	ɛ v ɹ iː w ɛ ɹ
washing	w ɑ ʃ ɪ ŋ
shoulder	ʃ oʊ l d ə ɹ
rolls	ɹ oʊ l z
handles	h æ n d ə l z
carefully	k ɛ ɹ f ə l iː
record	ɹ ə k ɔ ɹ d
ridiculous	ɹ ɪ d ɪ k j ə l ə s
week	w iː k
cooperative	k oʊ ɑ p ə ɹ eɪ t ɪ v
painted	p eɪ n t ɪ d
arrow	æ ɹ oʊ
pinch	p ɪ n tʃ
compromise	k ɑ m p ɹ ə m aɪ z
learn	l ɜː n
chicken	tʃ ɪ k ə n
free	f ɹ iː
feeling	f iː l ɪ ŋ
fingers	f ɪ ŋ ɡ ə ɹ z
fooling	f uː l ɪ ŋ
driver	d ɹ aɪ v ə ɹ
underneath	ʌ n d ə ɹ n iː θ
curve	k ɜː v
party	p ɑ ɹ t iː
pinky	p ɪ ŋ k iː
baker	b eɪ k ə ɹ
faking	f eɪ k ɪ ŋ
shorts	ʃ ɔ ɹ t s
sip	s ɪ p
bologna	b ə l oʊ n iː
guys	ɡ aɪ z
ja	j ɑ
chucked	tʃ ʌ k t
fives	f aɪ v z
bumpy	b ʌ m p iː
flatter	f l æ t ə ɹ
pepperoni	p ɛ p ə ɹ oʊ n iː
hurray	h ə ɹ eɪ
closest	k l oʊ s ə s t
bet	b ɛ t
drying	d ɹ aɪ ɪ ŋ
curtain	k ɜː t ə n
mark	m ɑ ɹ k
cutouts	k ʌ t aʊ t s
snap	s n æ p
buddy	b ʌ d iː
faced	f eɪ s t
yawning	j ɔ n ɪ ŋ
einstein	aɪ n s t aɪ n
freezing	f ɹ iː z ɪ ŋ
mind	m aɪ n d
di	d iː
used	j uː z d
sharer	ʃ ɛ ɹ ə ɹ
rex	ɹ ɛ k s
bob	b ɑ b
concentration	k ɑ n s ə n t ɹ eɪ ʃ ə n
deep	d iː p
digging	d ɪ ɡ ɪ ŋ
department	d ɪ p ɑ ɹ t m ə n t
blower	b l oʊ ə ɹ
forward	f ɔ ɹ w ə ɹ d
digs	d ɪ ɡ z
hoe	h oʊ
gun	ɡ ʌ n
squirt	s k w ɜː t
sided	s aɪ d ɪ d
huge	h j uː dʒ
country	k ʌ n t ɹ iː
celery	s ɛ l ə ɹ iː
cardboard	k ɑ ɹ d b ɔ ɹ d
forty	f ɔ ɹ t iː
guy	ɡ aɪ
bandaid	b æ n d eɪ d
thumb	θ ʌ m
most	m oʊ s t
road	ɹ oʊ d
dollar	d ɑ l ə ɹ
brown's	b ɹ aʊ n z
money	m ʌ n iː
belt	b ɛ l t
bun	b ʌ n
smells	s m ɛ l z
looked	l ʊ k t
whose	h uː z
pictures	p ɪ k tʃ ə ɹ z
someone's	s ʌ m w ʌ n z
cutie	k j uː t iː
violet	v aɪ ə l ɪ t
diaper	d aɪ p ə ɹ
destroyed	d ɪ s t ɹ ɔɪ d
magenta	m ə dʒ ɛ n t ə
forgetting	f ə ɹ ɡ ɛ t ɪ ŋ
blues	b l uː z
soda	s oʊ d ə
he'll	h iː l
lying	l aɪ ɪ ŋ
kept	k ɛ p t
